id,enigme,reponse,alternatives,indice_1,indice_2,indice_3,categorie,difficulte
1,"Je grandis quand on me coupe, et plus on m'entretient, plus je reviens. Que suis-je ?",les cheveux,cheveu|cheveux,On me trouve sur la tête.,Le coiffeur s'occupe de moi.,On me lave avec du shampoing.,Corps,1
2,"Plus j'en enlève, plus je deviens grand. Que suis-je ?",un trou,trou,Je suis un vide.,On me creuse avec une pelle.,Je peux être dans une chaussette ou dans le sol.,Logique,2
3,"Je n'ai pas de bouche, pourtant je répète tout ce que tu dis. Que suis-je ?",l'écho,echo,On me rencontre en montagne.,Je suis un phénomène sonore.,Crie dans une grotte et tu me trouveras.,Nature,1
4,"Je suis toujours devant toi, mais tu ne me verras jamais. Que suis-je ?",l'avenir,avenir|le futur|futur|demain,Je n'existe pas encore.,Je suis une notion de temps.,"Hier est derrière, je suis l'inverse.",Temps,2
5,J'ai des dents mais je ne mords jamais. Que suis-je ?,un peigne,peigne,Je suis un objet du quotidien.,Je tiens dans une poche.,Je sers à démêler.,Objets,1
6,"J'ai un cou mais pas de tête, et je suis souvent pleine. Que suis-je ?",une bouteille,bouteille,Je suis en verre ou en plastique.,On me débouche.,On me trouve sur la table du repas.,Objets,1
7,Je vole sans ailes et je pleure sans yeux. Que suis-je ?,un nuage,nuage|le nuage|les nuages,Je suis dans le ciel.,Je change de forme sans arrêt.,"Quand je pleure, on sort le parapluie.",Nature,2
8,"Je suis noir quand je suis propre, et blanc quand je suis sale. Que suis-je ?",un tableau,tableau|tableau noir,On me trouve dans une salle de classe.,On écrit sur moi.,La craie me salit.,Objets,2
9,Je me casse dès qu'on prononce mon nom. Que suis-je ?,le silence,silence,Je ne fais aucun bruit.,Je règne dans une bibliothèque.,Parler me détruit.,Logique,3
10,"Il m'appartient, pourtant ce sont les autres qui s'en servent le plus. Qu'est-ce que c'est ?",mon prénom,prenom|mon prenom|le prenom|mon nom|nom,Je le porte depuis ma naissance.,Il est écrit sur mes papiers.,On l'utilise pour m'appeler.,Logique,3
11,"Je marche à quatre pattes le matin, sur deux à midi et sur trois le soir. Que suis-je ?",l'homme,homme|etre humain|l humain|humain|l homme,Une journée représente ici toute une vie.,Le bébé rampe.,Le vieillard s'aide d'une canne.,Logique,3
12,"J'ai des villes sans maisons, des forêts sans arbres et de l'eau sans poissons. Que suis-je ?",une carte,carte|une carte geographique|carte geographique|la carte,On me déplie.,Je représente le monde en petit.,On m'utilise pour ne pas se perdre.,Objets,3
13,Je suis toujours affamé et il faut sans cesse me nourrir. Le doigt qui me touche devient rouge. Que suis-je ?,le feu,feu|un feu,Je donne de la lumière et de la chaleur.,Le bois est mon repas préféré.,Les pompiers me combattent.,Nature,2
14,"Plus je sèche, plus je deviens humide. Que suis-je ?",une serviette,serviette|la serviette|une serviette de bain,Je suis en tissu éponge.,Je sers après la douche.,Mon travail consiste à absorber.,Objets,2
15,"J'ai une tête et un pied, mais aucun bras. Que suis-je ?",un lit,lit|le lit,Je suis un meuble.,Je suis dans une chambre.,On passe un tiers de sa vie sur moi.,Objets,2
16,Je passe devant le soleil sans jamais faire d'ombre. Que suis-je ?,le vent,vent|le vent,On me sent sans me voir.,Je fais tourner les éoliennes.,Je souffle.,Nature,2
17,Combien de fois peut-on soustraire 5 de 25 ?,une seule fois,1|une fois|une seule|1 fois|qu une fois|une seule fois car apres ce n est plus 25,"Attention au piège, ce n'est pas 5.","Après la première soustraction, le nombre a changé.","Une fois qu'on a retiré 5 de 25, on ne soustrait plus de 25 mais de 20.",Logique,4
18,"Un escargot est au fond d'un puits de 10 mètres. Chaque jour il monte de 3 mètres, chaque nuit il glisse de 2. En combien de jours atteint-il le sommet ?",8 jours,8|huit|huit jours|8 jour,Il progresse d'un mètre net par journée complète.,"Le dernier jour, il n'a pas besoin de redescendre.","Après 7 jours il est à 7 mètres, et le 8e jour il monte les 3 derniers.",Logique,4
19,Je commence la nuit et je termine le matin. Que suis-je ?,la lettre n,n|la lettre n|lettre n,"Regarde les mots eux-mêmes, pas leur sens.",Observe la première lettre de « nuit ».,Et la dernière lettre de « matin ».,Mots,3
